"","res_id","date_gen","date_checkin","nights","guests","ori_id","agency_id","mean_price_per_night","status"
"5645",11365147,2021-08-06,2021-08-06,2,2,7,"Agencia_2",129.605,"Cancelled"
"5646",11633716,2021-09-14,2021-09-14,1,1,13,"Agencia_2",51.39,"Cancelled"
"5647",11602820,2021-09-10,2021-09-14,1,1,7,"Agencia_2",52.18,"Cancelled"
"5648",11634088,2021-09-14,2021-09-20,1,1,13,"Agencia_2",51.39,"Cancelled"
"5649",11667451,2021-09-17,2021-09-21,3,1,7,"Agencia_2",39.2833333333333,"Cancelled"
"5650",11651772,2021-09-16,2021-09-23,2,1,7,"Agencia_2",38,"Cancelled"
"5651",11634791,2021-09-14,2021-09-21,1,1,13,"Agencia_2",53.43,"Cancelled"
"5652",11635333,2021-09-14,2021-09-17,1,1,13,"Agencia_2",99.88,"Cancelled"
"5653",11652626,2021-09-16,2021-09-20,1,1,7,"Agencia_2",47.75,"Confirmed"
"5654",11636230,2021-09-14,2021-09-14,2,1,13,"Agencia_2",50.47,"Cancelled"
"5655",11662333,2021-09-17,2021-09-22,2,1,13,"Agencia_2",65,"Cancelled"
"5656",11637827,2021-09-14,2021-09-14,1,1,13,"Agencia_2",65.04,"Cancelled"
"5657",11662401,2021-09-17,2021-09-20,4,1,7,"Agencia_2",39.93,"Cancelled"
"5658",11638479,2021-09-14,2021-09-20,2,1,7,"Agencia_2",38,"Cancelled"
"5659",11386089,2021-08-10,2021-08-10,2,1,7,"Agencia_2",82.465,"Cancelled"
"5660",11654002,2021-09-16,2021-09-21,1,1,7,"Agencia_2",38,"Cancelled"
"5661",11639702,2021-09-14,2021-09-16,1,1,7,"Agencia_2",65.55,"Cancelled"
"5662",11369699,2021-08-07,2021-08-08,1,2,7,"Agencia_2",66,"Cancelled"
"5663",11386860,2021-08-10,2021-09-14,1,0,7,"Agencia_2",0,"Confirmed"
"5664",11654395,2021-09-16,2021-09-20,1,1,13,"Agencia_2",57.3,"Cancelled"
"5665",11663328,2021-09-17,2021-09-22,1,1,13,"Agencia_2",57.3,"Cancelled"
"5666",11388360,2021-08-10,2021-09-14,4,1,7,"Agencia_2",75.79,"Cancelled"
"5667",11663469,2021-09-17,2021-09-20,1,1,7,"Agencia_2",65.8,"Cancelled"
"5668",11415232,2021-08-14,2021-08-14,1,1,7,"Agencia_2",194,"Cancelled"
"5669",11642018,2021-09-15,2021-09-20,2,1,13,"Agencia_2",55.265,"Cancelled"
"5670",11336838,2021-08-03,2021-08-03,1,1,13,"Agencia_2",52.17,"Cancelled"
"5671",11748463,2021-09-27,2021-09-27,1,1,13,"Agencia_2",49.57,"Cancelled"
"5672",11676584,2021-09-19,2021-09-20,3,1,7,"Agencia_2",13.0933333333333,"Confirmed"
"5673",11782909,2021-10-01,2021-10-21,1,1,13,"Agencia_2",67.36,"Cancelled"
"5674",11783213,2021-10-01,2021-10-24,5,1,7,"Agencia_2",40.308,"Cancelled"
"5675",11678022,2021-09-19,2021-09-21,2,1,7,"Agencia_2",49.23,"Cancelled"
"5676",11678083,2021-09-19,2021-09-21,2,1,7,"Agencia_2",49.23,"Cancelled"
"5677",11678061,2021-09-19,2021-09-21,2,1,7,"Agencia_2",49.23,"Cancelled"
"5678",11681661,2021-09-20,2021-09-21,1,1,13,"Agencia_2",64.66,"Cancelled"
"5679",11682206,2021-09-20,2021-09-20,1,1,13,"Agencia_2",56.44,"Cancelled"
"5680",11682651,2021-09-20,2021-09-21,1,2,7,"Agencia_2",32.64,"Cancelled"
"5681",11684025,2021-09-20,2021-09-20,1,1,7,"Agencia_2",47.75,"Cancelled"
"5682",11783779,2021-10-01,2021-10-27,1,1,7,"Agencia_2",97,"Cancelled"
"5683",11685036,2021-09-20,2021-09-21,2,1,13,"Agencia_2",55.265,"Cancelled"
"5684",11685897,2021-09-20,2021-09-23,1,1,7,"Agencia_2",60.49,"Cancelled"
"5685",11685955,2021-09-20,2021-09-23,1,1,7,"Agencia_2",60.49,"Cancelled"
"5686",11685977,2021-09-20,2021-09-23,1,1,7,"Agencia_2",60.49,"Cancelled"
"5687",11686213,2021-09-20,2021-09-29,1,1,7,"Agencia_2",61.86,"Confirmed"
"5688",11784622,2021-10-01,2021-10-05,1,1,7,"Agencia_2",47.75,"Cancelled"
"5689",11773591,2021-09-30,2021-10-04,4,1,7,"Agencia_2",65.8,"Cancelled"
"5690",11688247,2021-09-20,2021-09-20,1,1,13,"Agencia_2",52.16,"Cancelled"
"5691",11784688,2021-10-01,2021-10-06,2,1,7,"Agencia_2",38,"Cancelled"
"5692",11785030,2021-10-01,2021-10-13,1,1,7,"Agencia_2",65.55,"Cancelled"
"5693",11751388,2021-09-28,2021-10-04,2,1,7,"Agencia_2",38,"Cancelled"
"5694",11642686,2021-09-15,2021-09-20,1,1,7,"Agencia_2",34.16,"Cancelled"
"5695",11751813,2021-09-28,2021-10-26,2,1,7,"Agencia_2",38,"Confirmed"
"5696",11751762,2021-09-28,2021-10-26,2,1,7,"Agencia_2",38,"Cancelled"
"5697",11785354,2021-10-01,2021-10-18,4,1,13,"Agencia_2",46.94,"Cancelled"
"5698",11774309,2021-09-30,2021-09-30,1,2,13,"Agencia_2",44,"Cancelled"
"5699",11774310,2021-09-30,2021-09-30,1,2,13,"Agencia_2",44,"Cancelled"
"5700",11774439,2021-09-30,2021-10-05,1,1,7,"Agencia_2",34.16,"Cancelled"
"5701",11774621,2021-09-30,2021-09-30,2,1,13,"Agencia_2",64.165,"Cancelled"
"5702",11774622,2021-09-30,2021-09-30,2,1,13,"Agencia_2",64.165,"Cancelled"
"5703",11774718,2021-09-30,2021-10-05,1,1,7,"Agencia_2",34.16,"Cancelled"
"5704",11691682,2021-09-14,2021-09-21,1,1,13,"Agencia_2",74,"Cancelled"
"5705",11774976,2021-09-30,2021-10-21,1,1,13,"Agencia_2",67.36,"Cancelled"
"5706",11754963,2021-09-28,2021-10-14,1,1,7,"Agencia_2",42.18,"Confirmed"
"5707",11754940,2021-09-28,2021-10-14,1,1,7,"Agencia_2",42.18,"Confirmed"
"5708",11754943,2021-09-28,2021-10-14,1,1,7,"Agencia_2",42.18,"Confirmed"
"5709",11775077,2021-09-30,2021-10-05,1,1,7,"Agencia_2",41.64,"Cancelled"
"5710",11692254,2021-09-21,2021-09-28,2,1,7,"Agencia_2",38,"Cancelled"
"5711",11692240,2021-09-21,2021-09-28,2,1,7,"Agencia_2",38,"Cancelled"
